"m1897";"f1897";"m1926";"f1926";"m1939";"f1939";"m1959";"f1959";"m1970";"f1970";"m1979";"f1979";"m1989";"f1989";"m2002";"f2002";"m2010";"f2010"
1236066;1235000;1553272;1512110;1904698;1851813;1362410;1311282;885452;866609;1075443;1033906;1187062;1139485;682698;650995;842354;799290
973400;988112;1277896;1262002;1568194;1538801;1352420;1298272;927732;892564;1083979;1045417;1252569;1203214;641551;611517;859562;816650
942004;956838;1222107;1218125;1303287;1286625;1333686;1284417;944874;906184;1079781;1039589;1259066;1213738;644671;614195;849138;810238
929882;955203;1248013;1244541;1166121;1154801;1363860;1312176;980690;942591;1068482;1031115;1205424;1164336;644652;613887;788376;749192
853626;880855;989323;1000692;1012968;1004708;1390203;1344067;1006218;965731;1057994;1019016;1224935;1181731;662998;632187;744105;708621
800990;814519;942624;928307;944647;937457;1273891;1230406;1065642;1024513;1014355;979016;1251936;1212361;659306;630073;750282;719994
778085;794424;811971;822109;1095584;1099940;1302113;1254518;1158301;1112520;1035395;997265;1178420;1139762;678341;647384;748514;714041
748164;779916;795896;836450;1236087;1256220;1256554;1218941;1223591;1180827;998630;961108;1120932;1089260;717053;686899;746626;709541
780395;792709;920761;925808;1352407;1369317;1228809;1194603;1294316;1246531;970315;938232;1117962;1085241;740366;707605;709493;675073
719914;720767;657017;664926;1203960;1226417;1244900;1210479;1354738;1306289;923907;895431;1099107;1065361;753300;720546;675127;642261
792057;798425;791158;810781;1420021;1447453;1154747;1118768;1360459;1311019;923446;893436;1094258;1064207;875113;837107;683827;649347
654295;652826;799813;806271;1363263;1384880;1039003;1018693;1342107;1301782;911970;879401;1076103;1045760;963123;920519;656887;624330
837460;846647;1219011;1200070;1569820;1560881;1042610;1007798;1362965;1313623;974816;942223;1087878;1055453;1081671;1034292;678395;647124
695782;703141;1061409;1065173;1397996;1400010;610169;591954;1304794;1260473;982750;946979;1064033;1034614;1145059;1098865;669374;639361
658323;677176;1034770;1071850;1293581;1304912;467720;450263;1330162;1285037;1045642;1009655;1049831;1020102;1247787;1202841;696685;664492
663842;679590;1015190;1080122;1186867;1183836;416358;408334;1335620;1293668;1135966;1095405;1019117;991849;1314341;1266341;743449;714038
641020;706714;1025511;1155065;1008003;1042227;615427;617282;1224300;1184006;1208079;1167395;1040471;1011334;1291147;1251208;774172;738400
646301;720853;910974;1044343;867603;905205;1038895;1053930;1231588;1191887;1279431;1221752;1018440;982416;1266227;1233990;800765;769574
640917;680447;902788;1026103;832722;903711;1146906;1159040;1265405;1186480;1363286;1270736;1030317;954175;1306873;1269683;923952;893522
565187;590390;802284;906781;727508;828573;1283852;1234863;1256812;1134969;1401424;1251828;1010365;909127;1325599;1275219;1035555;995967
589881;778905;897588;1055140;903900;991705;1380476;1381946;1354328;1217454;1390099;1296579;938162;908005;1234028;1200275;1167860;1131832
501140;438603;719633;619048;583512;648888;1332926;1292038;1073554;1029693;1328823;1273236;937305;914393;1162951;1138130;1187193;1148731
551177;600494;797408;872630;676554;859747;1172100;1187686;1033290;1004966;1288024;1247520;994796;964389;1170248;1150594;1252421;1218412
496507;565571;736148;840644;825959;1000448;1039164;1024329;976763;945357;1315656;1269927;1014580;977680;1115312;1099331;1300116;1259906
426875;483981;635115;731475;1060901;1184289;869198;872061;588284;567619;1329005;1282129;1071140;1034170;1100598;1094937;1262584;1240402
541424;739156;647521;921441;1054212;1120145;869564;880918;469923;449871;1219236;1181097;1165248;1124953;1088833;1085758;1247974;1243617
487629;483164;649315;765075;1073391;1170898;1020544;1051354;420975;409875;1231561;1194346;1232522;1194698;1092321;1087100;1230926;1217649
526847;530780;561911;726598;979034;1021802;1009892;1010361;600100;610239;1217137;1169042;1304504;1260844;1070733;1066695;1249086;1235819
515034;527091;593947;754860;1110092;1175049;1227016;1240962;1019434;1023398;1169883;1135296;1349567;1311339;1045802;1043881;1156502;1152137
337285;305941;468154;495399;857122;883549;1124196;1156273;1068182;1072214;1220200;1189465;1321760;1291799;1016461;1015392;1125283;1123092
716837;896237;668712;929947;971464;1043928;1309414;1417576;1242512;1274240;1074238;1048074;1324418;1303749;1061391;1057322;1182017;1185059
262583;234377;326064;313070;840738;809930;1101707;1148312;1252866;1283883;999336;980641;1313737;1284789;994896;992227;1088248;1099638
394213;386576;468340;531706;921739;918035;1069574;1275264;1278660;1291938;952395;935774;1271807;1254798;1007712;1001755;1073221;1098658
371209;357736;433723;479150;804117;853732;836419;1121040;1072393;1097904;570531;563554;1276740;1264146;933628;941367;1038733;1071776
280076;296392;350373;384529;809292;839392;733738;1089868;967485;979866;456497;453260;1286157;1282468;916902;929174;1051852;1090868
573061;652432;490700;689886;776704;838337;635392;1016546;813226;832100;407130;409910;1179693;1179906;929632;951061;1046293;1096820
372873;356605;407615;462510;696024;789456;517470;863416;778042;799413;567167;598797;1190167;1196838;957895;985788;1008882;1052016
397223;388781;371226;472126;506142;696397;445323;696785;946768;1003702;971329;1015043;1166969;1169407;981477;1011546;983045;1028738
415571;408150;469388;557635;760926;959068;466413;733179;956168;973170;1013937;1057678;1118389;1130132;1039571;1081174;985075;1030509
275902;249213;366779;371447;550662;659246;409478;639320;1097950;1144137;1148683;1219511;1166096;1186504;1116279;1161961;949072;992022
624274;796593;554707;788387;566415;738111;549684;877070;1110200;1190829;1223714;1305972;996264;1014822;1195521;1254650;980924;1021745
216458;188796;264070;239078;444682;503944;349039;525597;1133357;1260040;1189721;1253883;946999;972836;1210704;1275923;881915;934332
347023;320538;421707;420071;516663;629133;409707;669200;1084649;1194513;1026696;1095915;889430;918342;1278766;1343675;866214;922369
290658;279852;344036;346617;454523;551713;474365;778010;938461;1168741;903668;955634;532315;553301;1216728;1309040;859808;924566
235303;235944;275034;284378;404611;500387;572869;971193;765538;1093991;744622;797443;410679;427633;1182385;1279078;885432;963393
503491;549390;456930;607694;443363;574695;569825;922902;684648;1080155;736442;800067;378426;399981;1167289;1268706;926771;1017547
255306;232157;330589;323225;379317;462094;572908;981872;566245;955344;864785;961810;531319;589983;1123058;1237181;951739;1054173
252010;245244;277636;303504;322252;427103;508628;824849;464668;829683;876267;946366;897387;993699;1117150;1244008;1015812;1131666
290510;285240;308987;360390;405009;511495;571386;1000974;417645;682622;1000435;1102956;921873;1026639;1087663;1227025;1051749;1186937
171653;164571;232296;230786;315054;423817;459072;754675;387206;639342;984203;1110360;1038151;1177442;998307;1135505;1093184;1241960
535799;706130;455192;701599;420094;570612;497133;871680;395074;656743;1058424;1245210;1072588;1230324;1035886;1190390;1155128;1319896
129217;125875;174902;173974;288419;322342;436044;734819;465178;774078;962812;1128688;1063113;1211022;951627;1104077;1076307;1263084
215064;209220;269782;289672;332456;401292;448958;768754;325333;537012;852960;1127553;892275;1031999;960428;1115830;1043777;1244051
176319;181582;226715;243416;306155;382239;395891;704376;344731;597229;685445;1050831;789192;914631;963751;1149211;1005283;1213022
142448;156777;185206;211978;290723;392071;389682;717492;422021;739097;599922;1013673;636807;751582;730354;869644;967830;1194179
371186;411448;359762;536021;307614;565274;366362;764147;513647;965254;502258;961216;614992;745988;798841;982399;964217;1217428
185669;174825;250487;299114;266422;445116;323671;703976;483280;865597;409966;815704;733704;918806;604983;752242;919814;1184147
157656;151118;181611;233263;208105;364755;235732;547428;495209;948044;362878;678642;740490;915351;382611;485822;837341;1094468
164499;161717;177167;240339;256284;392059;316876;792099;450722;806530;329584;615930;826647;1052538;298788;386820;841362;1115583
97609;93064;119585;137788;210721;312777;238786;462508;446988;883393;323338;600644;804057;1046586;280702;374191;789019;1058380
442179;621059;393617;626852;268228;492380;266111;609610;418718;797883;402552;765522;836705;1139799;493677;690847;787516;1068764
84768;76870;108929;114104;203713;262680;213869;417987;376412;749408;264866;497196;764668;1051588;625270;881794;775999;1086312
138359;131717;172281;200036;225495;333960;242129;499096;373684;743525;284123;569120;666651;1043429;694930;1000642;585545;822971
122674;118345;152884;180921;209083;322387;230310;472621;343363;701004;338600;687460;523738;965534;741777;1103418;624976;908747
82218;85587;109514;135491;177872;276012;210268;427374;308716;674379;403408;856077;447893;920056;695339;1055368;471186;700348
244384;282860;252562;386528;207019;363070;216659;453194;295366;661500;379439;782772;369296;834673;693911;1062076;295668;452536
94733;82931;128161;143767;175989;287063;184946;386894;263617;618831;377023;836373;291325;694511;559111;874771;222526;349399
100852;94975;134893;167287;142113;258042;162629;353676;236113;606611;347589;735084;259832;581390;467811;743843;205594;337029
76014;78919;94214;125702;146649;225103;166901;363736;180592;476414;326270;779549;229741;526500;358252;590565;336318;593158
43935;46210;55068;68708;101850;169430;116159;259274;198959;620758;282810;646579;217531;505413;364999;629237;431670;777849
244093;370962;194998;365567;129468;285825;179061;466422;168751;437208;265609;666535;255921;619452;427681;755232;471562;873450
33494;32427;41694;46077;71650;114459;116724;237596;148798;396800;241212;596627;163782;399472;405822;732603;485883;939961
56556;53473;68545;82562;90221;150295;125125;290548;143126;382447;220082;573657;170084;448178;435844;818562;446533;887671
43683;41766;55358;64718;76050;131527;110491;262814;132947;358738;190229;536077;197156;531638;385155;762428;438107;876801
31340;30362;37877;44579;61429;106584;99942;233163;126171;333544;170670;494615;224305;642947;379150;795220;337694;699382
107391;116803;95755;152158;74229;154031;99334;255458;114322;306077;149927;468465;200024;560736;317841;706659;273086;582355
31897;27660;36818;45104;50091;90763;80080;193513;102170;263696;126919;429079;192577;588768;258185;657851;198303;443449
27760;23529;27929;34968;42910;80537;61484;155434;88999;240455;93297;328058;161834;477023;193023;581343;190828;450959
29489;28080;32183;43329;45223;78594;67961;167210;75333;194624;101143;415070;146993;498448;154406;514632;210878;515172
13172;12632;13534;18250;26681;49262;43344;98527;65311;188453;72163;228476;118088;388669;112987;414359;195219;491816
88877;126159;68453;128724;37019;98110;51227;165621;53779;181629;67926;258504;101089;363539;89944;341315;200564;525966
8263;7669;8797;11086;15907;29275;31882;67582;60038;182619;52977;180274;86924;316774;73858;265492;162820;459396
12134;11160;13327;16666;17708;34295;31065;79046;44785;139545;49144;179070;72310;279044;63570;232607;151191;454663
8663;7866;9596;11986;14117;27351;25692;68430;36822;119417;42722;153378;57432;242190;54955;209635;120794;375205
7399;6473;7332;9272;11109;22125;20754;55430;31675;103928;34815;121357;46402;203858;47194;191120;93394;326944
23427;25032;23197;36912;14381;37237;20655;62346;27950;94522;29330;106041;37103;172011;30300;127389;66247;268782
5656;4780;7006;8321;8005;17126;15310;42422;21054;71413;23954;88673;28500;145188;28748;130403;48072;216394
4898;4431;5816;7727;5981;14034;10371;32245;18094;61912;17481;62288;18883;97737;29419;138781;32932;160226
3872;3818;4869;6377;6095;13436;11789;34459;12652;42879;15013;63902;17774;104036;26635;130668;23840;114617
2348;2613;2831;3987;3542;8724;5648;16815;11074;39534;9797;43130;10254;49912;20166;98044;18087;83274
15351;23398;14037;27382;5597;18066;7009;28208;8055;31046;11383;56501;8371;46841;16673;84802;13839;62970
1034;1113;1126;1689;1742;4227;2347;7505;4283;17608;9419;33381;5765;31139;10857;56869;10228;48090
1278;1416;1574;2312;1813;4186;2548;8071;4137;14759;5138;24262;4632;25459;8189;46496;7790;39367
1046;1078;1202;1772;1530;3607;2135;7011;2923;11452;3869;18474;3492;19069;4839;27823;4327;22563
882;783;840;1130;1213;2588;1634;5807;2275;9407;2858;13968;2413;13077;3333;20188;3544;19137
3466;4162;3246;5512;1964;5478;1831;6966;1742;7848;2156;11362;1691;9982;2287;14288;3137;17377
1285;1235;1266;1681;1252;2915;1421;5113;1468;6279;1824;9346;1326;8193;1458;9247;2380;13581
1063;881;912;1366;925;2387;1038;3896;1184;5262;1102;5480;885;5080;984;6453;1666;8756
997;1008;1047;1647;1057;2459;1172;4294;868;3831;1218;5862;813;6114;644;4115;1137;5980
482;560;525;897;702;1486;558;1774;946;4105;597;3002;493;3884;488;2961;687;3447
2007;3114;3928;7231;3902;8713;1995;7524;1423;6943;968;5349;1236;8999;967;5685;1379;5887
